Fifty quick ideas to improve your Retrospectives;;Tom Roden, Ben Williams;2015;;;;http://www.amazon.de/gp/product/0993088120/ref=as_li_tl?ie=UTF8&camp=1638&creative=19454&creativeASIN=0993088120&linkCode=as2&tag=antograbhaid-21
Agile Adoption Patterns;Addison Wesley;Amr Elssamadisy;2009;;;;a
Agile Software Development with Scrum;;Ken Schwaber, Mike Beedle;2001;;;;a
Drive: Was Sie wirklich motiviert;Ecowin;Daniel H Pink ;2010;;;;http://www.amazon.de/Drive-Was-Sie-wirklich-motiviert/dp/3902404957/ref=sr_1_1?s=books&ie=UTF8&qid=1415285104&sr=1-1&keywords=drive+was+sie+wirklich+motiviert
Kanban and Scrum - making the most of both;lulu.com;http://lulu.com/;2010;;;;http://www.amazon.de/Kanban-Scrum-making-most-both/dp/0557138329
Agile Hiring;Artima;Sean Landis;2011;;;;http://www.amazon.de/Agile-Hiring-Sean-Landis/dp/0981531636
User Stories Applied (2 Exemplare);Addison-Wesley Longman;Mike Cohn;2004;;;;http://www.amazon.com/User-Stories-Applied-Software-Development/dp/0321205685
Presentation Zen: Simple Ideas on Presentation Design and Delivery;Addison-Wesley Longman;Garr Reynolds;2008;;;;http://www.amazon.de/exec/obidos/ASIN/0321525655/ref=ord_cart_shr?_encoding=UTF8&m=A3JWKAKR8XB7XF
It's Behaviour, Stupid! What Really Drives the Performance of your organization;Bertrams Print on Demand;Steve Glowinkowski;2009;;;;http://www.amazon.de/exec/obidos/ASIN/1905823495/ref=ord_cart_shr?_encoding=UTF8&m=A3JWKAKR8XB7XF
Scrum. Produkte zuverl�ssig und schnell entwickeln;Hanser Fachbuch;Boris Gloger;2008;;;;http://www.amazon.de/Scrum-Produkte-zuverl%C3%A4ssig-schnell-entwickeln/dp/3446414959
Brain at Work (2 Exemplare);Campus;David Rock;2011;;;;http://www.amazon.de/Brain-Work-Intelligenter-arbeiten-erreichen/dp/3593393409
Five dysfunctions of a team;Viley VCH Verlag;Patrick Lencioni;2010;;;;a
One Minute Manager Builds High Performing Teams;"William Morrow; Rev Sub edition";Ken Blanchard, Eunice Parisi-Carew;2000;;;;http://www.amazon.com/Minute-Manager-Builds-Performing-Library/dp/0688172156
Agile Coaching;Pragmatic Programmers;Rachel Davies, Liz Sedley;2009;;;;http://www.amazon.de/Agile-Coaching-Rachel-Davies/dp/1934356433/ref=sr_1_1?ie=UTF8&qid=1375431685&sr=8-1&keywords=agile+coaching
Project Retrospectives - A Handbook for team reviews;Dorset House Publishing;Norman L. Kerth;2001;;;;http://www.amazon.com/Project-Retrospectives-Handbook-Team-Reviews/dp/0932633447
Der Agile Festpreis (2 Exemplare);Carl Hanser Verlag;Andreas Opelt, Boris Gloger, Wolfgang Pfarl, Ralf Mittermayr;2012;;;;http://www.amazon.de/Der-agile-Festpreis-erfolgreiche-IT-Projekt-Vertr%C3%A4ge/dp/3446432264
Adrenalin Junkies & Formular Zombies;Carl Hanser Verlag;Tom Demarco, Peter Hruschka et al.;2007;;;;http://www.amazon.de/Adrenalin-Junkies-Formular-Zombies-Typisches-Verhalten-Projekten/dp/3446412549
Was man nicht messen kann ...;;Tom Demarco;2004;;;;a
Dynamik in Gruppen - Handbuch der Gruppenleitung;Beltz;Eberhard;2007;;;;http://www.amazon.de/Dynamik-Gruppen-Gruppenleitung-Eberhard-Stahl/dp/3621276106
Der Termin;Carl Hanser Verlag;Tom DeMarco, Doris M�rtin;2007;;;;http://www.amazon.de/Der-Termin-Roman-%C3%BCber-Projektmanagement/dp/3446414398
Selbstorganisation braucht F�hrung;Carl Hanser Verlag;Boris Gloger,Dieter R�sner;2014;;;;http://borisgloger.com/2014/10/01/neues-buch-selbstorganisation-braucht-fuehrung/
Made to Stick. Why some ideas survive and others die;Random House NY;Chip & Dan Heath;2007;;;;http://heathbrothers.com/books/made-to-stick/
Start with why - How great leaders inspire everyone to take action;Portfolio,;Simon Sinek;2009;;;;https://www.startwithwhy.com/
Leaders eat last - Why some teams pull together and others don't;Portfolio,;Simon Sinek;2014;;;;http://www.meaningfulhq.com/leaders-eat-last.html
Death by Meeting;Wiley,;Patrick M. Lencioni;2004;;;;http://www.tablegroup.com/books/dbm
Agile Kaizen;Springer,;Angel Mendinilla;2014;;;;http://www.amazon.de/Agile-Kaizen-Continuous-Improvement-Retrospectives/dp/364254990X/ref=sr_1_1?ie=UTF8&qid=1427879157&sr=8-1&keywords=Agile+Kaizen
Das Scrum Prinzip;Sch�ffer/P�schl;Gloger, Maretich;2014;;;;http://www.amazon.de/Das-Scrum-Prinzip-Organisationen-aufbauen-gestalten/dp/3791032895/ref=sr_1_1?ie=UTF8&qid=1427879296&sr=8-1&keywords=das+scrum+prinzip
The Goal;Northriverpress;Eliyahu M. Goldratt;2014;;;;http://www.amazon.de/Goal-Process-Ongoing-Improvement/dp/0884271951/ref=sr_1_1?s=books-intl-de&ie=UTF8&qid=1435313648&sr=1-1&keywords=the+goal+goldratt
Optimieren von Requirements Management & Engineering;Colin Hood,;Rupert Wiebel;2005;;;;a
Firing back - How great leaders rebound after career disasters;Jeffrey Sonnenfeld, Andrew Ward;;2007;;;;a
Riding the waves of culture;;Tom Peters;2011;;;;a
Product Manager's handbook;;Linda Gorchels;2000;;;;a
Sources of Power - How People make Decisions;;Gary Klein;1998;;;;a
User Stories;;Mike Cohn;2010;;;;a
Wie sch�tzt man in agilen Projekten;Hanser;Boris Gloger;2014;;;;a
Agiles Projektmanagement mit Scrum;Microsoft Press;Ken Schwaber;;;;;a
Agile Software Development;Prentice Hall;Robert C. Martin;2003;;;;a
PMI-ACP Exam Prep;RMC Publications, Inc., Mike Griffiths;;2015;;;;a
